,t_vals,flux_ratio_vals
2894,14570,0.5925656510230018
2895,14575,0.5925577195974293
2896,14580,0.5925497939243014
2897,14585,0.592541873997373
2898,14590,0.5925339598104077
2899,14595,0.5925260513571777
2900,14600,0.5925181486314651
2901,14605,0.5925102516270605
2902,14610,0.5925023603377629
2903,14615,0.5924944747573813
2904,14620,0.592486594879733
2905,14625,0.5924787206986439
2906,14630,0.5924708522079498
2907,14635,0.5924629894014943
2908,14640,0.5924551322731308
2909,14645,0.5924472808167208
2910,14650,0.5924394350261349
2911,14655,0.5924315948952529
2912,14660,0.5924237604179625
2913,14665,0.5924159315881612
2914,14670,0.5924081083997546
2915,14675,0.5924002908466571
2916,14680,0.5923924789227921
2917,14685,0.5923846726220918
2918,14690,0.5923768719384966
2919,14695,0.5923690768659562
2920,14700,0.5923612873984283
2921,14705,0.5923535035298799
2922,14710,0.5923457252542863
2923,14715,0.5923379525656315
2924,14720,0.5923301854579079
2925,14725,0.5923224239251171
2926,14730,0.5923146679612684
2927,14735,0.5923069175603807
2928,14740,0.5922991727164805
2929,14745,0.5922914334236035
2930,14750,0.5922836996757932
2931,14755,0.5922759714671026
2932,14760,0.5922682487915922
2933,14765,0.5922605316433319
2934,14770,0.5922528200163993
2935,14775,0.5922451139048805
2936,14780,0.5922374133028706
2937,14785,0.5922297182044728
2938,14790,0.5922220286037985
2939,14795,0.5922143444949677
2940,14800,0.5922066658721086
2941,14805,0.5921989927293582
2942,14810,0.5921913250608611
2943,14815,0.5921836628607711
2944,14820,0.5921760061232495
2945,14825,0.5921683548424663
2946,14830,0.5921607090125998
2947,14835,0.5921530686278367
2948,14840,0.5921454336823714
2949,14845,0.592137804170407
2950,14850,0.5921301800861548
2951,14855,0.592122561423834
2952,14860,0.5921149481776725
2953,14865,0.5921073403419059
2954,14870,0.5920997379107783
2955,14875,0.5920921408785416
2956,14880,0.592084549239456
2957,14885,0.5920769629877901
2958,14890,0.5920693821178202
2959,14895,0.592061806623831
2960,14900,0.5920542365001149
2961,14905,0.5920466717409729
2962,14910,0.5920391123407134
2963,14915,0.5920315582936535
2964,14920,0.5920240095941179
2965,14925,0.5920164662364392
2966,14930,0.5920089282149587
2967,14935,0.5920013955240244
2968,14940,0.5919938681579939
2969,14945,0.5919863461112315
2970,14950,0.5919788293781097
2971,14955,0.5919713179530093
2972,14960,0.5919638118303187
2973,14965,0.5919563110044342
2974,14970,0.5919488154697602
2975,14975,0.5919413252207086
2976,14980,0.5919338402516995
2977,14985,0.5919263605571607
2978,14990,0.5919188861315279
2979,14995,0.5919114169692443
2980,15000,0.5919039530647613
2981,15005,0.591896494412538
2982,15010,0.5918890410070412
2983,15015,0.5918815928427454
2984,15020,0.5918741499141329
2985,15025,0.5918667122156938
2986,15030,0.5918592797419254
2987,15035,0.591851852487334
2988,15040,0.5918444304464321
2989,15045,0.5918370136137407
2990,15050,0.5918296019837883
2991,15055,0.5918221955511112
2992,15060,0.5918147943102527
2993,15065,0.5918073982557648
2994,15070,0.5918000073822062
2995,15075,0.5917926216841434
2996,15080,0.5917852411561507
2997,15085,0.5917778657928099
2998,15090,0.5917704955887102
2999,15095,0.5917631305384485
3000,15100,0.5917557706366294
3001,15105,0.5917484158778645
3002,15110,0.5917410662567736
3003,15115,0.591733721767983
3004,15120,0.5917263824061276
3005,15125,0.5917190481658493
3006,15130,0.591711719041797
3007,15135,0.5917043950286276
3008,15140,0.5916970761210055
3009,15145,0.5916897623136018
3010,15150,0.591682453601096
3011,15155,0.5916751499781742
3012,15160,0.5916678514395302
3013,15165,0.591660557979865
3014,15170,0.5916532695938872
3015,15175,0.5916459862763127
3016,15180,0.5916387080218646
3017,15185,0.591631434825273
3018,15190,0.5916241666812758
3019,15195,0.5916169035846185
3020,15200,0.5916096455300527
3021,15205,0.5916023925123381
3022,15210,0.591595144526242
3023,15215,0.5915879015665378
3024,15220,0.5915806636280073
3025,15225,0.5915734307054388
3026,15230,0.5915662027936277
3027,15235,0.5915589798873772
3028,15240,0.5915517619814972
3029,15245,0.5915445490708049
3030,15250,0.5915373411501248
3031,15255,0.591530138214288
3032,15260,0.5915229402581338
3033,15265,0.5915157472765074
3034,15270,0.5915085592642616
3035,15275,0.5915013762162564
3036,15280,0.5914941981273591
3037,15285,0.5914870249924433
3038,15290,0.5914798568063904
3039,15295,0.5914726935640885
3040,15300,0.5914655352604328
3041,15305,0.5914583818903252
3042,15310,0.5914512334486753
3043,15315,0.5914440899303992
3044,15320,0.59143695133042
3045,15325,0.5914298176436675
3046,15330,0.5914226888650793
3047,15335,0.5914155649895991
3048,15340,0.5914084460121782
3049,15345,0.5914013319277742
3050,15350,0.5913942227313519
3051,15355,0.5913871184178833
3052,15360,0.5913800189823466
3053,15365,0.5913729244197274
3054,15370,0.5913658347250181
3055,15375,0.5913587498932178
3056,15380,0.5913516699193323
3057,15385,0.5913445947983746
3058,15390,0.5913375245253644
3059,15395,0.591330459095328
3060,15400,0.591323398503299
3061,15405,0.5913163427443168
3062,15410,0.5913092918134285
3063,15415,0.5913022457056876
3064,15420,0.5912952044161544
3065,15425,0.591288167939896
3066,15430,0.591281136271986
3067,15435,0.591274109407505
3068,15440,0.59126708734154
3069,15445,0.5912600700691849
3070,15450,0.59125305758554
3071,15455,0.5912460498857129
3072,15460,0.5912390469648171
3073,15465,0.5912320488179733
3074,15470,0.5912250554403083
3075,15475,0.5912180668269563
3076,15480,0.5912110829730571
3077,15485,0.5912041038737579
3078,15490,0.5911971295242121
3079,15495,0.5911901599195799
3080,15500,0.5911831950550281
3081,15505,0.5911762349257297
3082,15510,0.5911692795268644
3083,15515,0.5911623288536189
3084,15520,0.5911553829011852
3085,15525,0.5911484416647634
3086,15530,0.5911415051395591
3087,15535,0.5911345733207842
3088,15540,0.591127646203658
3089,15545,0.5911207237834054
3090,15550,0.5911138060552582
3091,15555,0.5911068930144546
3092,15560,0.5910999846562394
3093,15565,0.591093080975863
3094,15570,0.5910861819685831
3095,15575,0.5910792876296637
3096,15580,0.5910723979543746
3097,15585,0.5910655129379924
3098,15590,0.5910586325758005
3099,15595,0.5910517568630876
3100,15600,0.5910448857951501
3101,15605,0.5910380193672893
3102,15610,0.5910311575748136
3103,15615,0.5910243004130377
3104,15620,0.5910174478772827
3105,15625,0.5910105999628755
3106,15630,0.5910037566651497
3107,15635,0.5909969179794452
3108,15640,0.5909900839011081
3109,15645,0.5909832544254902
3110,15650,0.5909764295479505
3111,15655,0.5909696092638536
3112,15660,0.5909627935685703
3113,15665,0.590955982457478
3114,15670,0.5909491759259599
3115,15675,0.5909423739694057
3116,15680,0.590935576583211
3117,15685,0.5909287837627781
3118,15690,0.5909219955035145
3119,15695,0.590915211800835
3120,15700,0.5909084326501594
3121,15705,0.5909016580469143
3122,15710,0.5908948879865326
3123,15715,0.5908881224644528
3124,15720,0.5908813614761197
3125,15725,0.5908746050169842
3126,15730,0.5908678530825033
3127,15735,0.5908611056681399
3128,15740,0.5908543627693633
3129,15745,0.5908476243816483
3130,15750,0.5908408905004764
3131,15755,0.5908341611213344
3132,15760,0.5908274362397159
3133,15765,0.59082071585112
3134,15770,0.5908139999510518
3135,15775,0.5908072885350223
3136,15780,0.5908005815985492
3137,15785,0.590793879137155
3138,15790,0.5907871811463693
3139,15795,0.5907804876217267
3140,15800,0.5907737985587687
3141,15805,0.5907671139530416
3142,15810,0.5907604338000986
3143,15815,0.5907537580954982
3144,15820,0.5907470868348053
3145,15825,0.5907404200135901
3146,15830,0.5907337576274289
3147,15835,0.5907270996719044
3148,15840,0.5907204461426042
3149,15845,0.5907137970351225
3150,15850,0.5907071523450589
3151,15855,0.5907005120680193
3152,15860,0.5906938761996149
3153,15865,0.5906872447354633
3154,15870,0.590680617671187
3155,15875,0.590673995002415
3156,15880,0.5906673767247822
3157,15885,0.5906607628339287
3158,15890,0.5906541533255005
3159,15895,0.59064754819515
3160,15900,0.5906409474385343
3161,15905,0.5906343510513172
3162,15910,0.5906277590291675
3163,15915,0.5906211713677602
3164,15920,0.5906145880627757
3165,15925,0.5906080091099002
3166,15930,0.5906014345048258
3167,15935,0.5905948642432498
3168,15940,0.5905882983208754
3169,15945,0.5905817367334119
3170,15950,0.5905751794765732
3171,15955,0.5905686265460802
3172,15960,0.5905620779376582
3173,15965,0.5905555336470388
3174,15970,0.5905489936699592
3175,15975,0.5905424580021618
3176,15980,0.5905359266393948
3177,15985,0.5905293995774124
3178,15990,0.5905228768119737
3179,15995,0.5905163583388435
3180,16000,0.5905098441537929
3181,16005,0.5905033342525974
3182,16010,0.5904968286310389
3183,16015,0.5904903272849046
3184,16020,0.5904838302099868
3185,16025,0.5904773374020841
3186,16030,0.590470848857
3187,16035,0.5904643645705435
3188,16040,0.5904578845385292
3189,16045,0.5904514087567777
3190,16050,0.5904449372211144
3191,16055,0.5904384699273701
3192,16060,0.5904320068713814
3193,16065,0.5904255480489905
3194,16070,0.5904190934560444
3195,16075,0.590412643088396
3196,16080,0.5904061969419037
3197,16085,0.5903997550124308
3198,16090,0.5903933172958465
3199,16095,0.5903868837880254
3200,16100,0.5903804544848469
3201,16105,0.5903740293821961
3202,16110,0.5903676084759637
3203,16115,0.5903611917620458
3204,16120,0.590354779236343
3205,16125,0.5903483708947624
3206,16130,0.5903419667332155
3207,16135,0.5903355667476196
3208,16140,0.590329170933897
3209,16145,0.5903227792879757
3210,16150,0.5903163918057888
3211,16155,0.5903100084832744
3212,16160,0.5903036293163761
3213,16165,0.5902972543010432
3214,16170,0.5902908834332298
3215,16175,0.5902845167088947
3216,16180,0.5902781541240034
3217,16185,0.5902717956745251
3218,16190,0.5902654413564351
3219,16195,0.5902590911657137
3220,16200,0.5902527450983467
3221,16205,0.5902464031503242
