SOURCE_ID,RA,DEC,RA_ERROR,DEC_ERROR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_FLUX_OVER_ERROR,PHOT_G_N_OBS,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_FLUX_OVER_ERROR,PHOT_BP_N_OBS,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_FLUX_OVER_ERROR,PHOT_RP_N_OBS,ASTROMETRIC_WEIGHT_AL,ASTROMETRIC_N_OBS_AL,ASTROMETRIC_N_GOOD_OBS_AL,ASTROMETRIC_EXCESS_NOISE,ASTROMETRIC_EXCESS_NOISE_SIG,DUPLICATED_SOURCE,REF_EPOCH,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PHOT_VARIABLE_FLAG,A_G_VAL,E_BP_MIN_RP_VAL
4472861100489138816,269.1726134120466,4.806909705863609,0.0341947,0.0366146,14.8825,2078.32,122,15.2797,515.950,12,14.3145,511.405,13,26.1656,123,122,0.00000,0.00000,"F",2015.50,0.594294,0.0441563,4.72854,0.0604666,-3.62300,0.0640165,"F",NaN,NaN
4472861066129400320,269.1574064178952,4.792727204671513,0.0241870,0.0254536,13.3992,3204.82,125,14.0251,364.650,14,12.6551,1283.35,13,104.194,125,125,0.00000,0.00000,"F",2015.50,1.08685,0.0265924,-13.0744,0.0440206,-12.0391,0.0451824,"F",NaN,NaN
4472846738118830464,269.6583314716451,4.993966101320340,0.0323429,0.0337415,9.61058,2672.55,151,10.4880,541.792,18,8.72482,640.576,17,225.259,157,156,0.00000,0.00000,"T",2015.50,1.05552,0.0335046,-3.96824,0.0625639,-7.53640,0.0654802,"F",0.773700,0.379000
4472833681418170112,269.6144292927826,4.758077462744551,0.0264127,0.0337304,14.0894,3702.01,125,14.4839,403.492,13,13.5083,1156.40,11,56.4196,125,125,0.00000,9.17307e-16,"F",2015.50,0.714554,0.0400621,-33.0514,0.0527035,-25.9253,0.0545746,"F",NaN,NaN
4472831929071913856,269.5091648043676,4.719887931833541,0.0229492,0.0283199,13.9126,3236.11,120,14.6464,551.816,13,13.0912,1200.04,13,66.2327,122,121,0.00000,0.00000,"F",2015.50,0.275289,0.0316992,-0.871108,0.0456035,-6.28796,0.0463583,"F",0.680300,0.330000
4472844672236556800,269.6129643667281,4.908320185546481,0.0487943,0.0539712,15.2048,1753.92,94,15.8325,420.023,11,14.4556,554.367,11,19.7729,94,94,0.00000,0.00000,"F",2015.50,2.17820,0.0626020,44.6048,0.0883238,-17.4266,0.0908406,"F",0.116700,0.0480000
4472821724229182848,269.6823910615162,4.742261454363756,0.0250135,0.0288170,14.2959,2719.66,134,15.1049,247.203,14,13.4218,579.158,14,46.8949,135,135,0.00000,0.00000,"F",2015.50,0.0615934,0.0329632,0.700794,0.0523454,-2.77112,0.0517291,"F",0.674300,0.358300
4472844367296884224,269.5360915871326,4.887710228311308,0.0324156,0.0344317,14.8375,2795.00,133,15.5146,267.897,14,14.0525,942.205,14,26.6141,134,134,0.00000,0.00000,"F",2015.50,0.236014,0.0386036,-1.75873,0.0671553,-10.8089,0.0589576,"F",NaN,NaN
4472846669399355264,269.6317801406160,4.974199763432382,0.0332469,0.0358218,14.9736,1728.35,138,15.6769,362.805,15,14.1771,889.792,14,23.0378,140,139,0.00000,0.00000,"F",2015.50,0.148208,0.0386287,-2.39304,0.0642313,-6.86500,0.0591715,"F",0.518000,0.270300
4472818631853144320,269.5839180540829,4.647950376431546,0.0266499,0.0336673,14.4658,2554.65,111,15.1034,507.069,13,13.7064,379.501,12,39.5982,114,112,0.00000,0.00000,"F",2015.50,0.118402,0.0379230,-0.000127494,0.0533705,-4.44352,0.0610806,"F",0.331500,0.166000
4472833578338983040,269.5430646106474,4.764853922603574,0.0198565,0.0243847,13.2076,3548.01,130,13.6024,383.281,14,12.6495,729.250,15,125.743,133,133,0.00000,0.00000,"F",2015.50,0.732167,0.0275168,-2.88899,0.0392418,-4.64876,0.0391837,"F",NaN,NaN
4472861650244954496,269.2116225964757,4.848936739252747,0.0398993,0.0527303,15.3604,1828.35,115,15.9852,123.554,9,14.6048,668.572,10,15.8389,115,114,0.0153638,0.0185492,"F",2015.50,0.00642069,0.0646018,-3.46524,0.0771411,-2.35563,0.0808465,"F",NaN,NaN
4472861611588802176,269.2031380044741,4.839642176179265,0.0330195,0.0360150,14.9850,1913.62,124,15.4658,182.445,13,14.3380,319.797,11,23.4313,124,124,0.00000,0.00000,"F",2015.50,0.976831,0.0424870,-3.80205,0.0593253,-8.19383,0.0626914,"F",0.808300,0.410800
4472831551114787328,269.5146257828579,4.690769651944910,0.0295429,0.0375141,14.8481,2604.61,123,15.3887,551.111,11,14.1663,586.350,13,27.3471,123,123,0.00000,0.00000,"F",2015.50,0.339694,0.0419649,1.64128,0.0585611,-5.04776,0.0606207,"F",NaN,NaN
4472816879506022784,269.6656111669009,4.618521729644059,0.0352057,0.0485332,13.1219,1346.35,115,14.3465,253.282,12,12.0296,377.660,12,24.2722,115,115,0.183558,7.39787,"F",2015.50,0.129323,0.0559967,-2.31232,0.0677773,-5.80885,0.0702746,"F",NaN,NaN
4472844401656623488,269.5439050392227,4.896729036718845,0.0249904,0.0275672,14.1805,3490.58,149,14.8227,310.560,16,13.4190,847.153,16,50.8655,152,152,0.00000,0.00000,"F",2015.50,0.283503,0.0309292,-1.51462,0.0490136,-5.58858,0.0462159,"F",NaN,NaN
4472819147249233280,269.4845741456334,4.622399252841026,0.0272517,0.0305336,14.1620,2582.41,106,14.7999,717.690,9,13.4064,651.251,11,51.3618,107,107,0.00000,0.00000,"F",2015.50,0.204349,0.0348648,-3.17898,0.0517366,-2.86617,0.0493433,"F",0.569700,0.220000
4472819353407651712,269.5588298172926,4.633900301651521,0.0393389,0.0468136,15.1892,1394.28,97,15.5810,575.595,10,14.6207,274.385,10,18.1632,105,98,0.0671360,0.393583,"F",2015.50,0.861430,0.0532408,1.07497,0.0825667,-6.20135,0.0948279,"F",0.313300,0.154500
4472833372180920960,269.5434038088059,4.730097348160958,0.0208003,0.0264126,13.4450,3903.87,124,13.8154,637.930,13,12.9083,401.440,14,100.919,125,125,0.00000,0.00000,"F",2015.50,0.844223,0.0293037,-3.75325,0.0411758,-5.31326,0.0420512,"F",NaN,NaN
4472842236993048704,269.6994596975526,4.897134605176960,0.0218561,0.0245348,14.0609,3658.26,148,14.5893,674.815,16,13.3875,926.617,16,55.5241,148,148,0.00000,0.00000,"F",2015.50,0.502848,0.0277943,2.56873,0.0447020,0.747531,0.0471911,"F",NaN,NaN
4472827870321852288,269.6670123409027,4.773041126936272,0.0363487,0.0399101,9.71661,2713.37,115,10.0125,1165.84,14,9.28836,1077.06,13,336.355,124,121,0.00000,0.00000,"F",2015.50,5.08354,0.0449580,-6.57556,0.0756846,-36.9421,0.0750216,"F",1.10800,0.597000
4472861031769658624,269.1845530193602,4.797841696880817,0.0369133,0.0378721,15.1671,1775.66,132,15.5866,235.353,14,14.5852,468.268,13,19.1421,134,134,0.00000,0.00000,"F",2015.50,0.648753,0.0476840,-3.04307,0.0652992,-13.0916,0.0684422,"F",0.922000,0.449000
4472838246962832768,269.5288354818549,4.859415220795805,0.0371366,0.0393179,12.7802,5007.28,130,13.2349,704.635,14,12.1857,686.675,14,206.434,132,130,0.00000,0.00000,"F",2015.50,2.54269,0.0439393,-16.6367,0.0729933,-32.1700,0.0667910,"F",NaN,NaN
4472846806838309376,269.6567937301209,4.996999772763122,0.0229388,0.0240358,14.0212,3572.44,154,14.7855,414.140,12,13.1643,260.052,15,57.8404,155,155,0.00000,0.00000,"F",2015.50,0.279743,0.0237890,-2.46200,0.0440362,-4.83839,0.0460500,"F",0.823200,0.405000
